ENSMUSG00000000149|ENSMUSG00000000149.11|ENSMUSP00000000153|ENSMUSP00000000153.5,1.4170419480215657
ENSMUSG00000000303|ENSMUSG00000000303.14|ENSMUSP00000000312|ENSMUSP00000000312.6,1.0488864213145481
ENSMUSG00000000435|ENSMUSG00000000435.2|ENSMUSP00000000445|ENSMUSP00000000445.2,1.1782199776682147
ENSMUSG00000026315|ENSMUSG00000026315.14|ENSMUSP00000000514|ENSMUSP00000000514.5,1.1096687289095524
ENSMUSG00000000305|ENSMUSG00000000305.13|ENSMUSP00000000314|ENSMUSP00000000314.7,1.1066739019297496
ENSMUSG00000000378|ENSMUSG00000000378.16|ENSMUSP00000000388|ENSMUSP00000000388.9,1.0321903777140853
ENSMUSG00000000296|ENSMUSG00000000296.9|ENSMUSP00000000305|ENSMUSP00000000305.6,1.0909438588477836
ENSMUSG00000000402|ENSMUSG00000000402.3|ENSMUSP00000000412|ENSMUSP00000000412.3,1.039385940736847
ENSMUSG00000000318|ENSMUSG00000000318.17|ENSMUSP00000000327|ENSMUSP00000000327.7,1.1513488894831085
ENSMUSG00000000392|ENSMUSG00000000392.18|ENSMUSP00000000402|ENSMUSP00000000402.10,1.0787113714728276
ENSMUSG00000000440|ENSMUSG00000000440.13|ENSMUSP00000000450|ENSMUSP00000000450.4,1.1065991739269916
ENSMUSG00000000346|ENSMUSG00000000346.10|ENSMUSP00000000356|ENSMUSP00000000356.9,1.1474053656262737
ENSMUSG00000000295|ENSMUSG00000000295.14|ENSMUSP00000000304|ENSMUSP00000000304.7,1.1485100725715016
ENSMUSG00000000320|ENSMUSG00000000320.11|ENSMUSP00000000329|ENSMUSP00000000329.3,1.0572185328793278
ENSMUSG00000000489|ENSMUSG00000000489.8|ENSMUSP00000000500|ENSMUSP00000000500.7,1.147421415144095
ENSMUSG00000000766|ENSMUSG00000000766.19|ENSMUSP00000000783|ENSMUSP00000000783.7,1.0888929097541118
ENSMUSG00000000881|ENSMUSG00000000881.13|ENSMUSP00000000901|ENSMUSP00000000901.7,1.0586411850304909
ENSMUSG00000000903|ENSMUSG00000000903.4|ENSMUSP00000000926|ENSMUSP00000000926.3,1.2426844605491754
ENSMUSG00000000632|ENSMUSG00000000632.14|ENSMUSP00000000646|ENSMUSP00000000646.8,1.0209917025645519
ENSMUSG00000001020|ENSMUSG00000001020.9|ENSMUSP00000001046|ENSMUSP00000001046.6,1.4610170148391777
ENSMUSG00000000791|ENSMUSG00000000791.10|ENSMUSP00000000808|ENSMUSP00000000808.8,1.0713505990359384
ENSMUSG00000000530|ENSMUSG00000000530.17|ENSMUSP00000000542|ENSMUSP00000000542.8,1.0951121041646796
ENSMUSG00000000753|ENSMUSG00000000753.16|ENSMUSP00000000769|ENSMUSP00000000769.8,1.091373741960313
ENSMUSG00000000901|ENSMUSG00000000901.18|ENSMUSP00000000924|ENSMUSP00000000924.7,1.0471165790294175
ENSMUSG00000000817|ENSMUSG00000000817.11|ENSMUSP00000000834|ENSMUSP00000000834.3,1.0764820001681539
ENSMUSG00000001029|ENSMUSG00000001029.16|ENSMUSP00000001055|ENSMUSP00000001055.9,1.1079200955668091
ENSMUSG00000000751|ENSMUSG00000000751.14|ENSMUSP00000000767|ENSMUSP00000000767.6,1.0644349919886378
ENSMUSG00000063558|ENSMUSG00000063558.5|ENSMUSP00000001027|ENSMUSP00000001027.7,1.0057875358065456
ENSMUSG00000000902|ENSMUSG00000000902.14|ENSMUSP00000000925|ENSMUSP00000000925.4,1.2336298602938796
ENSMUSG00000029534|ENSMUSG00000029534.18|ENSMUSP00000000674|ENSMUSP00000000674.7,1.0044107102391735
ENSMUSG00000000631|ENSMUSG00000000631.21|ENSMUSP00000000645|ENSMUSP00000000645.7,1.110603586581861
ENSMUSG00000001036|ENSMUSG00000001036.18|ENSMUSP00000001063|ENSMUSP00000001063.9,1.003019428395586
ENSMUSG00000000617|ENSMUSG00000000617.15|ENSMUSP00000000631|ENSMUSP00000000631.8,1.0746462464096265
ENSMUSG00000000562|ENSMUSG00000000562.6|ENSMUSP00000000574|ENSMUSP00000000574.2,1.1008997842763113
ENSMUSG00000000794|ENSMUSG00000000794.10|ENSMUSP00000000811|ENSMUSP00000000811.8,1.0826553609056453
ENSMUSG00000000690|ENSMUSG00000000690.6|ENSMUSP00000000704|ENSMUSP00000000704.4,1.3607924103547282
ENSMUSG00000029844|ENSMUSG00000029844.10|ENSMUSP00000000964|ENSMUSP00000000964.5,1.0510307525412372
ENSMUSG00000027490|ENSMUSG00000027490.18|ENSMUSP00000000894|ENSMUSP00000000894.6,1.1030923187469048
ENSMUSG00000000740|ENSMUSG00000000740.13|ENSMUSP00000000756|ENSMUSP00000000756.6,1.212764681108286
ENSMUSG00000000730|ENSMUSG00000000730.14|ENSMUSP00000000746|ENSMUSP00000000746.6,1.073885313844254
ENSMUSG00000000958|ENSMUSG00000000958.11|ENSMUSP00000000984|ENSMUSP00000000984.5,1.0560597274400174
ENSMUSG00000000876|ENSMUSG00000000876.12|ENSMUSP00000000896|ENSMUSP00000000896.5,1.2397779050366151
ENSMUSG00000001016|ENSMUSG00000001016.13|ENSMUSP00000001042|ENSMUSP00000001042.9,1.0204533389219435
ENSMUSG00000000976|ENSMUSG00000000976.14|ENSMUSP00000001002|ENSMUSP00000001002.8,0.9505355086516583
ENSMUSG00000000711|ENSMUSG00000000711.4|ENSMUSP00000000727|ENSMUSP00000000727.3,1.0902391327827623
ENSMUSG00000000776|ENSMUSG00000000776.14|ENSMUSP00000000793|ENSMUSP00000000793.6,1.1031079009902762
ENSMUSG00000000628|ENSMUSG00000000628.11|ENSMUSP00000000642|ENSMUSP00000000642.5,1.1438461337316779
ENSMUSG00000000792|ENSMUSG00000000792.3|ENSMUSP00000000809|ENSMUSP00000000809.3,1.052260106412501
ENSMUSG00000000739|ENSMUSG00000000739.15|ENSMUSP00000000755|ENSMUSP00000000755.8,1.25398472307769
ENSMUSG00000001014|ENSMUSG00000001014.7|ENSMUSP00000001040|ENSMUSP00000001040.6,0.9880311671719108
ENSMUSG00000000532|ENSMUSG00000000532.12|ENSMUSP00000000544|ENSMUSP00000000544.10,1.0840677417816276
ENSMUSG00000027489|ENSMUSG00000027489.16|ENSMUSP00000000895|ENSMUSP00000000895.7,1.0779495929393959
ENSMUSG00000000673|ENSMUSG00000000673.10|ENSMUSP00000000687|ENSMUSP00000000687.8,1.1829390057003153
ENSMUSG00000000934|ENSMUSG00000000934.10|ENSMUSP00000000958|ENSMUSP00000000958.9,1.1494057138773321
ENSMUSG00000000759|ENSMUSG00000000759.15|ENSMUSP00000000776|ENSMUSP00000000776.9,0.9912524303213072
ENSMUSG00000000959|ENSMUSG00000000959.8|ENSMUSP00000000985|ENSMUSP00000000985.6,1.0272730159885173
ENSMUSG00000000693|ENSMUSG00000000693.11|ENSMUSP00000000707|ENSMUSP00000000707.3,1.0765234577299403
ENSMUSG00000000531|ENSMUSG00000000531.6|ENSMUSP00000000543|ENSMUSP00000000543.5,1.0381985886579517
ENSMUSG00000000916|ENSMUSG00000000916.16|ENSMUSP00000000940|ENSMUSP00000000940.9,1.0179435780201742
ENSMUSG00000000827|ENSMUSG00000000827.19|ENSMUSP00000000844|ENSMUSP00000000844.9,1.08278240387573
ENSMUSG00000000787|ENSMUSG00000000787.13|ENSMUSP00000000804|ENSMUSP00000000804.7,1.0285047424532947
ENSMUSG00000000804|ENSMUSG00000000804.15|ENSMUSP00000000821|ENSMUSP00000000821.9,1.125302910773278
ENSMUSG00000000594|ENSMUSG00000000594.8|ENSMUSP00000000608|ENSMUSP00000000608.8,1.1364657378909773
ENSMUSG00000074340|ENSMUSG00000074340.10|ENSMUSP00000000573|ENSMUSP00000000573.3,1.04927215369033
ENSMUSG00000000567|ENSMUSG00000000567.6|ENSMUSP00000000579|ENSMUSP00000000579.3,1.2871721360634998
ENSMUSG00000000581|ENSMUSG00000000581.9|ENSMUSP00000000594|ENSMUSP00000000594.3,1.316382229075776
ENSMUSG00000032175|ENSMUSG00000032175.12|ENSMUSP00000001036|ENSMUSP00000001036.11,1.0994744346457899
ENSMUSG00000000708|ENSMUSG00000000708.15|ENSMUSP00000000724|ENSMUSP00000000724.9,1.0299069467161581
ENSMUSG00000000743|ENSMUSG00000000743.10|ENSMUSP00000000759|ENSMUSP00000000759.9,1.3739190190598185
ENSMUSG00000000915|ENSMUSG00000000915.16|ENSMUSP00000000939|ENSMUSP00000000939.9,1.1605752249669317
ENSMUSG00000000889|ENSMUSG00000000889.9|ENSMUSP00000000910|ENSMUSP00000000910.7,1.146903092931178
ENSMUSG00000000701|ENSMUSG00000000701.9|ENSMUSP00000000717|ENSMUSP00000000717.8,1.288260012428959
ENSMUSG00000000869|ENSMUSG00000000869.13|ENSMUSP00000000889|ENSMUSP00000000889.7,1.0835759520659525
ENSMUSG00000044807|ENSMUSG00000044807.14|ENSMUSP00000000632|ENSMUSP00000000632.7,1.1068971153317781
ENSMUSG00000000605|ENSMUSG00000000605.10|ENSMUSP00000000619|ENSMUSP00000000619.7,1.0347170205066503
ENSMUSG00000001021|ENSMUSG00000001021.14|ENSMUSP00000001047|ENSMUSP00000001047.8,1.547658809682353
ENSMUSG00000000861|ENSMUSG00000000861.16|ENSMUSP00000000881|ENSMUSP00000000881.7,0.9622937474617667
ENSMUSG00000001052|ENSMUSG00000001052.16|ENSMUSP00000001079|ENSMUSP00000001079.9,0.929127799445052
ENSMUSG00000032050|ENSMUSG00000032050.19|ENSMUSP00000000590|ENSMUSP00000000590.9,1.0896467482195555
ENSMUSG00000000627|ENSMUSG00000000627.16|ENSMUSP00000000641|ENSMUSP00000000641.10,0.9713863039208085
ENSMUSG00000000811|ENSMUSG00000000811.15|ENSMUSP00000000828|ENSMUSP00000000828.8,1.015529151471709
ENSMUSG00000079007|ENSMUSG00000079007.5|ENSMUSP00000000718|ENSMUSP00000000718.7,1.2095545947577786
ENSMUSG00000001017|ENSMUSG00000001017.17|ENSMUSP00000001043|ENSMUSP00000001043.8,0.967140575040662
ENSMUSG00000000884|ENSMUSG00000000884.18|ENSMUSP00000000904|ENSMUSP00000000904.9,1.0819773742497665
ENSMUSG00000020715|ENSMUSG00000020715.10|ENSMUSP00000001059|ENSMUSP00000001059.3,1.064367809734943
ENSMUSG00000001095|ENSMUSG00000001095.6|ENSMUSP00000001122|ENSMUSP00000001122.6,1.0864191731387522
ENSMUSG00000001865|ENSMUSG00000001865.3|ENSMUSP00000001921|ENSMUSP00000001921.2,1.1293296797115986
ENSMUSG00000001225|ENSMUSG00000001225.13|ENSMUSP00000001254|ENSMUSP00000001254.6,0.9699804572888271
ENSMUSG00000001175|ENSMUSG00000001175.17|ENSMUSP00000001204|ENSMUSP00000001204.8,1.3670667835497683
ENSMUSG00000001507|ENSMUSG00000001507.17|ENSMUSP00000001548|ENSMUSP00000001548.8,1.0561664701309736
ENSMUSG00000001280|ENSMUSG00000001280.14|ENSMUSP00000001326|ENSMUSP00000001326.6,0.9783827474225675
ENSMUSG00000001054|ENSMUSG00000001054.10|ENSMUSP00000001081|ENSMUSP00000001081.4,1.165797048652019
ENSMUSG00000001583|ENSMUSG00000001583.14|ENSMUSP00000001626|ENSMUSP00000001626.4,0.952701093723998
ENSMUSG00000001445|ENSMUSG00000001445.11|ENSMUSP00000001485|ENSMUSP00000001485.4,1.0906888323188426
ENSMUSG00000001227|ENSMUSG00000001227.13|ENSMUSP00000001256|ENSMUSP00000001256.5,1.0027289926656957
ENSMUSG00000001482|ENSMUSG00000001482.16|ENSMUSP00000001522|ENSMUSP00000001522.4,1.2586582463913667
ENSMUSG00000001751|ENSMUSG00000001751.10|ENSMUSP00000001802|ENSMUSP00000001802.10,1.1041543857262757
ENSMUSG00000001741|ENSMUSG00000001741.13|ENSMUSP00000001792|ENSMUSP00000001792.5,0.9837046474690677
ENSMUSG00000001815|ENSMUSG00000001815.16|ENSMUSP00000001867|ENSMUSP00000001867.7,1.0125825920202094
ENSMUSG00000001739|ENSMUSG00000001739.15|ENSMUSP00000001790|ENSMUSP00000001790.5,1.2043366404339109
ENSMUSG00000031967|ENSMUSG00000031967.16|ENSMUSP00000001520|ENSMUSP00000001520.8,1.0206449646048639
ENSMUSG00000001157|ENSMUSG00000001157.14|ENSMUSP00000001185|ENSMUSP00000001185.8,1.0211561266295384
ENSMUSG00000029106|ENSMUSG00000029106.15|ENSMUSP00000001108|ENSMUSP00000001108.5,1.033400847262324
ENSMUSG00000001524|ENSMUSG00000001524.15|ENSMUSP00000001565|ENSMUSP00000001565.9,1.0969605036950711
ENSMUSG00000001120|ENSMUSG00000001120.16|ENSMUSP00000001148|ENSMUSP00000001148.5,1.0865311589727025
ENSMUSG00000001158|ENSMUSG00000001158.14|ENSMUSP00000001186|ENSMUSP00000001186.5,1.0491913473408334
ENSMUSG00000001494|ENSMUSG00000001494.7|ENSMUSP00000001534|ENSMUSP00000001534.7,1.3774624820748906
ENSMUSG00000001525|ENSMUSG00000001525.11|ENSMUSP00000001566|ENSMUSP00000001566.9,1.2388787182285086
ENSMUSG00000001576|ENSMUSG00000001576.16|ENSMUSP00000158222|ENSMUSP00000158222.2,1.3216940678436628
ENSMUSG00000001300|ENSMUSG00000001300.17|ENSMUSP00000001319|ENSMUSP00000001319.8,1.0079269374421376
ENSMUSG00000001761|ENSMUSG00000001761.8|ENSMUSP00000001812|ENSMUSP00000001812.5,1.0918297886028705
ENSMUSG00000001819|ENSMUSG00000001819.5|ENSMUSP00000001872|ENSMUSP00000001872.5,1.0656450645035989
ENSMUSG00000001670|ENSMUSG00000001670.14|ENSMUSP00000001720|ENSMUSP00000001720.8,1.0960533600689604
ENSMUSG00000001870|ENSMUSG00000001870.17|ENSMUSP00000001927|ENSMUSP00000001927.6,1.0349169955974495
ENSMUSG00000001444|ENSMUSG00000001444.3|ENSMUSP00000001484|ENSMUSP00000001484.3,1.0700542762077814
ENSMUSG00000001672|ENSMUSG00000001672.15|ENSMUSP00000001722|ENSMUSP00000001722.8,1.0466719092333896
ENSMUSG00000001313|ENSMUSG00000001313.13|ENSMUSP00000001347|ENSMUSP00000001347.7,1.1630520708648093
ENSMUSG00000001552|ENSMUSG00000001552.15|ENSMUSP00000001592|ENSMUSP00000001592.9,1.2241433078645345
ENSMUSG00000001138|ENSMUSG00000001138.14|ENSMUSP00000001166|ENSMUSP00000001166.8,1.147596657202804
ENSMUSG00000001496|ENSMUSG00000001496.16|ENSMUSP00000001536|ENSMUSP00000001536.8,1.2204279340198358
ENSMUSG00000001156|ENSMUSG00000001156.10|ENSMUSP00000001184|ENSMUSP00000001184.8,1.1399813258015998
ENSMUSG00000001569|ENSMUSG00000001569.11|ENSMUSP00000001611|ENSMUSP00000001611.10,0.9871116129558188
ENSMUSG00000001521|ENSMUSG00000001521.13|ENSMUSP00000001562|ENSMUSP00000001562.7,1.077536318883328
ENSMUSG00000001143|ENSMUSG00000001143.14|ENSMUSP00000137028|ENSMUSP00000137028.2,1.1721502728456739
ENSMUSG00000022485|ENSMUSG00000022485.4|ENSMUSP00000001709|ENSMUSP00000001709.3,1.1547741197208705
ENSMUSG00000001383|ENSMUSG00000001383.10|ENSMUSP00000001419|ENSMUSP00000001419.9,1.2669363387120962
ENSMUSG00000001657|ENSMUSG00000001657.8|ENSMUSP00000001703|ENSMUSP00000001703.7,1.1911399178905107
ENSMUSG00000001467|ENSMUSG00000001467.6|ENSMUSP00000001507|ENSMUSP00000001507.5,1.0453956656831451
ENSMUSG00000001103|ENSMUSG00000001103.8|ENSMUSP00000001130|ENSMUSP00000001130.7,1.1133214292519746
ENSMUSG00000001506|ENSMUSG00000001506.11|ENSMUSP00000001547|ENSMUSP00000001547.8,1.1186614334267557
ENSMUSG00000001441|ENSMUSG00000001441.14|ENSMUSP00000001480|ENSMUSP00000001480.8,1.011899029064168
ENSMUSG00000001794|ENSMUSG00000001794.14|ENSMUSP00000001845|ENSMUSP00000001845.6,1.1556093536950467
ENSMUSG00000001674|ENSMUSG00000001674.12|ENSMUSP00000001724|ENSMUSP00000001724.6,1.0622734313509736
ENSMUSG00000001151|ENSMUSG00000001151.11|ENSMUSP00000001179|ENSMUSP00000001179.6,1.028831230632359
ENSMUSG00000001656|ENSMUSG00000001656.4|ENSMUSP00000001701|ENSMUSP00000001701.4,1.1702162757278778
ENSMUSG00000001119|ENSMUSG00000001119.8|ENSMUSP00000001147|ENSMUSP00000001147.5,1.0235218857543709
ENSMUSG00000001440|ENSMUSG00000001440.6|ENSMUSP00000001479|ENSMUSP00000001479.4,1.023087617948598
ENSMUSG00000001473|ENSMUSG00000001473.8|ENSMUSP00000001513|ENSMUSP00000001513.7,1.3472582606673045
ENSMUSG00000001424|ENSMUSG00000001424.15|ENSMUSP00000001460|ENSMUSP00000001460.7,1.0553058899028476
ENSMUSG00000001349|ENSMUSG00000001349.6|ENSMUSP00000001384|ENSMUSP00000001384.5,1.2361668391643048
ENSMUSG00000001098|ENSMUSG00000001098.16|ENSMUSP00000001125|ENSMUSP00000001125.6,1.2310610769149142
ENSMUSG00000001844|ENSMUSG00000001844.11|ENSMUSP00000001900|ENSMUSP00000001900.3,1.0786607889816504
ENSMUSG00000030495|ENSMUSG00000030495.13|ENSMUSP00000001854|ENSMUSP00000001854.6,1.0951226065030715
ENSMUSG00000027680|ENSMUSG00000027680.16|ENSMUSP00000001620|ENSMUSP00000001620.9,1.030480782076771
ENSMUSG00000001415|ENSMUSG00000001415.11|ENSMUSP00000001451|ENSMUSP00000001451.6,1.0498942390372943
ENSMUSG00000001555|ENSMUSG00000001555.11|ENSMUSP00000001595|ENSMUSP00000001595.4,1.1310594458857337
ENSMUSG00000001661|ENSMUSG00000001661.6|ENSMUSP00000001711|ENSMUSP00000001711.5,1.1525344493030074
ENSMUSG00000001518|ENSMUSG00000001518.13|ENSMUSP00000001559|ENSMUSP00000001559.9,1.10388331384365
ENSMUSG00000020829|ENSMUSG00000020829.10|ENSMUSP00000001126|ENSMUSP00000001126.4,1.0724176841457984
ENSMUSG00000025139|ENSMUSG00000025139.15|ENSMUSP00000001950|ENSMUSP00000001950.6,1.1828040493722258
ENSMUSG00000001707|ENSMUSG00000001707.9|ENSMUSP00000001757|ENSMUSP00000001757.8,1.1335621274468168
ENSMUSG00000001082|ENSMUSG00000001082.13|ENSMUSP00000001109|ENSMUSP00000001109.5,0.9900563157415846
ENSMUSG00000053329|ENSMUSG00000053329.8|ENSMUSP00000001242|ENSMUSP00000001242.8,1.0730241818074784
ENSMUSG00000001173|ENSMUSG00000001173.16|ENSMUSP00000001202|ENSMUSP00000001202.9,1.0394209275457822
ENSMUSG00000001211|ENSMUSG00000001211.16|ENSMUSP00000001240|ENSMUSP00000001240.6,1.214432680281494
ENSMUSG00000001729|ENSMUSG00000001729.15|ENSMUSP00000001780|ENSMUSP00000001780.4,1.3343234406710092
ENSMUSG00000001663|ENSMUSG00000001663.11|ENSMUSP00000001713|ENSMUSP00000001713.4,1.2074594024226315
ENSMUSG00000001755|ENSMUSG00000001755.13|ENSMUSP00000001806|ENSMUSP00000001806.4,1.0484334779410136
ENSMUSG00000001622|ENSMUSG00000001622.16|ENSMUSP00000001667|ENSMUSP00000001667.7,1.143930022140707
ENSMUSG00000001666|ENSMUSG00000001666.9|ENSMUSP00000001716|ENSMUSP00000001716.8,1.3562869173424486
ENSMUSG00000001128|ENSMUSG00000001128.8|ENSMUSP00000001156|ENSMUSP00000001156.8,1.069854277049768
ENSMUSG00000001228|ENSMUSG00000001228.15|ENSMUSP00000001258|ENSMUSP00000001258.9,1.1194518157347904
ENSMUSG00000001864|ENSMUSG00000001864.14|ENSMUSP00000001920|ENSMUSP00000001920.8,1.3281990635751117
ENSMUSG00000074886|ENSMUSG00000074886.12|ENSMUSP00000001115|ENSMUSP00000001115.9,1.1114744296710126
ENSMUSG00000022283|ENSMUSG00000022283.16|ENSMUSP00000001809|ENSMUSP00000001809.9,1.0184923264465557
