ENSG00000004478|ENSG00000004478.8|ENSP00000001008|ENSP00000001008.4,1.1540188587425637
ENSG00000021488|ENSG00000021488.13|ENSP00000023064|ENSP00000023064.3,1.0954174538033883
ENSG00000027847|ENSG00000027847.14|ENSP00000029410|ENSP00000029410.5,1.3592831199137458
ENSG00000049449|ENSG00000049449.10|ENSP00000054950|ENSP00000054950.4,1.1582334255303595
ENSG00000042813|ENSG00000042813.8|ENSP00000046087|ENSP00000046087.2,1.0766091551220092
ENSG00000034713|ENSG00000034713.8|ENSP00000037243|ENSP00000037243.2,1.3435065795362469
ENSG00000019505|ENSG00000019505.8|ENSP00000020926|ENSP00000020926.3,1.200091486727654
ENSG00000034971|ENSG00000034971.17|ENSP00000037502|ENSP00000037502.5,1.095785240047645
ENSG00000022355|ENSG00000022355.18|ENSP00000023897|ENSP00000023897.6,1.0566134360405905
ENSG00000050344|ENSG00000050344.9|ENSP00000056233|ENSP00000056233.3,0.9747097888589821
ENSG00000048462|ENSG00000048462.11|ENSP00000053243|ENSP00000053243.1,1.1161643981110287
ENSG00000035681|ENSG00000035681.10|ENSP00000038176|ENSP00000038176.3,1.0354966537168617
ENSG00000037965|ENSG00000037965.6|ENSP00000040584|ENSP00000040584.4,1.162325926840947
ENSG00000049769|ENSG00000049769.14|ENSP00000055335|ENSP00000055335.6,1.0312577049117893
ENSG00000049245|ENSG00000049245.13|ENSP00000054666|ENSP00000054666.6,1.3203203577488303
ENSG00000050030|ENSG00000050030.16|ENSP00000055682|ENSP00000055682.5,1.0362959296751273
ENSG00000068438|ENSG00000068438.15|ENSP00000019019|ENSP00000019019.2,1.1960598452185576
ENSG00000013588|ENSG00000013588.10|ENSP00000014914|ENSP00000014914.6,1.1490530588945516
ENSG00000040531|ENSG00000040531.16|ENSP00000046640|ENSP00000046640.4,1.145787750199989
ENSG00000012061|ENSG00000012061.17|ENSP00000013807|ENSP00000013807.4,1.1555455984598815
ENSG00000052723|ENSG00000052723.12|ENSP00000060969|ENSP00000060969.6,1.158040682984605
ENSG00000080293|ENSG00000080293.10|ENSP00000019103|ENSP00000019103.6,1.1929568802608967
ENSG00000052841|ENSG00000052841.16|ENSP00000039989|ENSP00000039989.4,1.0096189026993543
ENSG00000041988|ENSG00000041988.16|ENSP00000054650|ENSP00000054650.4,1.1222981975690918
ENSG00000038295|ENSG00000038295.8|ENSP00000061240|ENSP00000061240.2,1.0700951990234042
ENSG00000078668|ENSG00000078668.14|ENSP00000022615|ENSP00000022615.4,1.1300172725101076
ENSG00000040608|ENSG00000040608.14|ENSP00000043402|ENSP00000043402.7,1.1965054529571963
ENSG00000054803|ENSG00000054803.4|ENSP00000064571|ENSP00000064571.2,1.090788066374537
ENSG00000037757|ENSG00000037757.14|ENSP00000040663|ENSP00000040663.5,1.202395674369797
ENSG00000036473|ENSG00000036473.9|ENSP00000039007|ENSP00000039007.4,1.0461019071804292
ENSG00000054965|ENSG00000054965.11|ENSP00000064778|ENSP00000064778.4,1.0965882241614868
ENSG00000049541|ENSG00000049541.11|ENSP00000055077|ENSP00000055077.3,1.169550707620555
ENSG00000041357|ENSG00000041357.16|ENSP00000044462|ENSP00000044462.7,1.151975079760156
ENSG00000031003|ENSG00000031003.11|ENSP00000033079|ENSP00000033079.3,1.1193114050136435
ENSG00000012983|ENSG00000012983.12|ENSP00000013125|ENSP00000013125.5,1.1117657299795507
ENSG00000019549|ENSG00000019549.13|ENSP00000020945|ENSP00000020945.1,1.0632135477051232
ENSG00000054967|ENSG00000054967.13|ENSP00000064780|ENSP00000064780.2,1.1089097222906987
ENSG00000015568|ENSG00000015568.13|ENSP00000016946|ENSP00000016946.3,1.0676056112357188
ENSG00000007541|ENSG00000007541.17|ENSP00000026218|ENSP00000026218.5,1.166010511129168
ENSG00000023734|ENSG00000023734.11|ENSP00000025399|ENSP00000025399.6,1.1681053299846282
ENSG00000031823|ENSG00000031823.14|ENSP00000034275|ENSP00000034275.7,1.0479952011380427
ENSG00000071203|ENSG00000071203.9|ENSP00000016913|ENSP00000016913.4,1.0558072765238722
ENSG00000059915|ENSG00000059915.17|ENSP00000020673|ENSP00000020673.5,1.067741837253459
ENSG00000033100|ENSG00000033100.17|ENSP00000035307|ENSP00000035307.2,1.05044180732101
ENSG00000047932|ENSG00000047932.14|ENSP00000052569|ENSP00000052569.6,1.057283400117141
ENSG00000017797|ENSG00000017797.13|ENSP00000019317|ENSP00000019317.4,1.094058774299583
ENSG00000043462|ENSG00000043462.13|ENSP00000046794|ENSP00000046794.5,1.0066232477522425
ENSG00000042317|ENSG00000042317.17|ENSP00000045347|ENSP00000045347.7,1.0234075844338952
ENSG00000022277|ENSG00000022277.13|ENSP00000023939|ENSP00000023939.5,1.07139709148206
ENSG00000077080|ENSG00000077080.10|ENSP00000160382|ENSP00000160382.5,1.3163141717280222
ENSG00000077063|ENSG00000077063.11|ENSP00000160373|ENSP00000160373.3,0.9634574696958564
ENSG00000070444|ENSG00000070444.15|ENSP00000174618|ENSP00000174618.4,1.1143527420618553
ENSG00000196083|ENSG00000196083.11|ENSP00000072516|ENSP00000072516.3,1.0625278448649307
ENSG00000008300|ENSG00000008300.17|ENSP00000164024|ENSP00000164024.4,1.011668892123363
ENSG00000064201|ENSG00000064201.16|ENSP00000182290|ENSP00000182290.5,1.1207847007266447
ENSG00000072682|ENSG00000072682.20|ENSP00000166534|ENSP00000166534.4,1.0619708107900387
ENSG00000069424|ENSG00000069424.16|ENSP00000164247|ENSP00000164247.1,1.2403702299166968
ENSG00000067182|ENSG00000067182.9|ENSP00000162749|ENSP00000162749.2,1.0880248784539572
ENSG00000063177|ENSG00000063177.13|ENSP00000084795|ENSP00000084795.5,1.1776050645032274
ENSG00000072849|ENSG00000072849.11|ENSP00000158771|ENSP00000158771.4,1.067636447185558
ENSG00000072210|ENSG00000072210.19|ENSP00000176643|ENSP00000176643.6,1.0727947695058502
ENSG00000012124|ENSG00000012124.17|ENSP00000085219|ENSP00000085219.4,1.0865877450051344
ENSG00000073150|ENSG00000073150.14|ENSP00000159647|ENSP00000159647.5,1.6214506461861165
ENSG00000005001|ENSG00000005001.10|ENSP00000161006|ENSP00000161006.3,1.2442624314842
ENSG00000064545|ENSG00000064545.15|ENSP00000162044|ENSP00000162044.7,1.207657548153136
ENSG00000075975|ENSG00000075975.17|ENSP00000170447|ENSP00000170447.7,1.1175225310757497
ENSG00000127663|ENSG00000127663.16|ENSP00000159111|ENSP00000159111.3,1.3327013697952896
ENSG00000069998|ENSG00000069998.12|ENSP00000155674|ENSP00000155674.5,1.1607555713446618
ENSG00000053918|ENSG00000053918.20|ENSP00000155840|ENSP00000155840.2,1.2635663874579637
ENSG00000021776|ENSG00000021776.11|ENSP00000156471|ENSP00000156471.5,1.053198626366587
ENSG00000076662|ENSG00000076662.11|ENSP00000160262|ENSP00000160262.3,1.0592974706642275
ENSG00000159885|ENSG00000159885.14|ENSP00000187879|ENSP00000187879.6,1.1570544945505032
ENSG00000127241|ENSG00000127241.18|ENSP00000169293|ENSP00000169293.6,1.224044266525062
ENSG00000070669|ENSG00000070669.17|ENSP00000175506|ENSP00000175506.4,1.0758608441834556
ENSG00000068697|ENSG00000068697.7|ENSP00000175091|ENSP00000175091.4,1.1229623589715525
ENSG00000063180|ENSG00000063180.9|ENSP00000084798|ENSP00000084798.3,1.1009952185030007
ENSG00000068394|ENSG00000068394.11|ENSP00000156109|ENSP00000156109.5,1.028699252198156
ENSG00000074410|ENSG00000074410.14|ENSP00000178638|ENSP00000178638.3,1.1421521045502085
ENSG00000075568|ENSG00000075568.17|ENSP00000186436|ENSP00000186436.5,0.9452193147468216
ENSG00000072786|ENSG00000072786.13|ENSP00000176763|ENSP00000176763.5,1.2892713559522302
ENSG00000079616|ENSG00000079616.14|ENSP00000160827|ENSP00000160827.5,1.0081591862073318
ENSG00000047188|ENSG00000047188.16|ENSP00000161863|ENSP00000161863.4,1.0612325678404964
ENSG00000072818|ENSG00000072818.12|ENSP00000158762|ENSP00000158762.3,1.0733373057252333
ENSG00000073350|ENSG00000073350.14|ENSP00000167462|ENSP00000167462.5,1.2361299573083708
ENSG00000068971|ENSG00000068971.14|ENSP00000164133|ENSP00000164133.2,1.268250101397627
ENSG00000065809|ENSG00000065809.14|ENSP00000181796|ENSP00000181796.2,1.0793330901650564
ENSG00000080618|ENSG00000080618.17|ENSP00000181383|ENSP00000181383.4,1.0484417857609167
ENSG00000079385|ENSG00000079385.23|ENSP00000161559|ENSP00000161559.6,1.0506418101710675
ENSG00000136960|ENSG00000136960.13|ENSP00000075322|ENSP00000075322.6,1.05301025973367
ENSG00000069696|ENSG00000069696.7|ENSP00000176183|ENSP00000176183.5,1.4198939345443338
ENSG00000073331|ENSG00000073331.18|ENSP00000177648|ENSP00000177648.9,0.9996470521462437
ENSG00000064763|ENSG00000064763.12|ENSP00000182377|ENSP00000182377.4,1.0680624877498675
ENSG00000071246|ENSG00000071246.11|ENSP00000167106|ENSP00000167106.4,1.2395131223546731
ENSG00000075336|ENSG00000075336.12|ENSP00000169551|ENSP00000169551.6,1.054573320215872
ENSG00000078898|ENSG00000078898.7|ENSP00000170150|ENSP00000170150.3,1.1603722300718111
ENSG00000063241|ENSG00000063241.8|ENSP00000085068|ENSP00000085068.2,1.2715857980495693
ENSG00000069206|ENSG00000069206.15|ENSP00000175238|ENSP00000175238.5,1.0944751737838472
ENSG00000004897|ENSG00000004897.12|ENSP00000066544|ENSP00000066544.3,1.0645920987463233
ENSG00000070404|ENSG00000070404.10|ENSP00000166139|ENSP00000166139.3,1.4166019549855529
ENSG00000170848|ENSG00000170848.16|ENSP00000187910|ENSP00000187910.3,0.9818755652026068
ENSG00000074855|ENSG00000074855.11|ENSP00000159087|ENSP00000159087.4,1.2125856817515208
ENSG00000070526|ENSG00000070526.15|ENSP00000156626|ENSP00000156626.6,1.1264272584590178
ENSG00000067646|ENSG00000067646.12|ENSP00000155093|ENSP00000155093.3,1.1356083707905384
ENSG00000004660|ENSG00000004660.15|ENSP00000158166|ENSP00000158166.5,1.1721466974154275
ENSG00000167759|ENSG00000167759.13|ENSP00000156476|ENSP00000156476.2,1.2809283234656768
ENSG00000065970|ENSG00000065970.9|ENSP00000162391|ENSP00000162391.3,1.1038972376469802
ENSG00000069399|ENSG00000069399.15|ENSP00000164227|ENSP00000164227.5,1.1293587212812026
ENSG00000070031|ENSG00000070031.4|ENSP00000176195|ENSP00000176195.3,1.2556218628517055
ENSG00000013275|ENSG00000013275.8|ENSP00000157812|ENSP00000157812.1,1.2323352406026293
ENSG00000078579|ENSG00000078579.9|ENSP00000180166|ENSP00000180166.5,1.0851963248566234
ENSG00000075089|ENSG00000075089.10|ENSP00000188312|ENSP00000188312.2,1.2251665836204266
ENSG00000078237|ENSG00000078237.7|ENSP00000179259|ENSP00000179259.4,1.0896737138523436
ENSG00000076650|ENSG00000076650.7|ENSP00000170564|ENSP00000170564.1,0.9895819756869313
ENSG00000071994|ENSG00000071994.11|ENSP00000167218|ENSP00000167218.5,1.093898475488935
ENSG00000079313|ENSG00000079313.15|ENSP00000170168|ENSP00000170168.3,1.1989354430694112
ENSG00000112782|ENSG00000112782.19|ENSP00000185206|ENSP00000185206.6,1.1365751589936506
ENSG00000072080|ENSG00000072080.11|ENSP00000168148|ENSP00000168148.3,1.093153890082928
ENSG00000074071|ENSG00000074071.15|ENSP00000177742|ENSP00000177742.3,1.3529829020160777
ENSG00000012504|ENSG00000012504.15|ENSP00000188403|ENSP00000188403.7,1.0910185261286713
ENSG00000069943|ENSG00000069943.10|ENSP00000164305|ENSP00000164305.5,1.0543610352510089
ENSG00000073861|ENSG00000073861.3|ENSP00000177694|ENSP00000177694.1,1.1507258813779973
ENSG00000071282|ENSG00000071282.12|ENSP00000157600|ENSP00000157600.3,1.149912818156286
ENSG00000061273|ENSG00000061273.18|ENSP00000080059|ENSP00000080059.7,1.0739612987854477
ENSG00000071575|ENSG00000071575.12|ENSP00000155926|ENSP00000155926.4,1.1250293602697847
ENSG00000003987|ENSG00000003987.14|ENSP00000180173|ENSP00000180173.4,1.0538586245308454
ENSG00000050820|ENSG00000050820.17|ENSP00000162330|ENSP00000162330.5,1.208622048125006
ENSG00000137764|ENSG00000137764.20|ENSP00000178640|ENSP00000178640.5,1.082717943290013
ENSG00000068097|ENSG00000068097.16|ENSP00000184956|ENSP00000184956.5,0.9510812966988568
ENSG00000058799|ENSG00000058799.15|ENSP00000072644|ENSP00000072644.1,1.0954045916927067
ENSG00000063515|ENSG00000063515.3|ENSP00000086933|ENSP00000086933.2,1.272113400552902
ENSG00000068912|ENSG00000068912.15|ENSP00000185150|ENSP00000185150.4,1.0742857463309068
ENSG00000066405|ENSG00000066405.13|ENSP00000183605|ENSP00000183605.5,1.2178051743794902
ENSG00000075415|ENSG00000075415.15|ENSP00000188376|ENSP00000188376.5,1.0054753262432823
ENSG00000057294|ENSG00000057294.19|ENSP00000070846|ENSP00000070846.6,0.9941212644638244
ENSG00000071539|ENSG00000071539.14|ENSP00000166345|ENSP00000166345.3,1.0498096107090304
ENSG00000062725|ENSG00000062725.10|ENSP00000083182|ENSP00000083182.3,1.104047459971501
ENSG00000133597|ENSG00000133597.11|ENSP00000072869|ENSP00000072869.4,1.065311346072547
ENSG00000067840|ENSG00000067840.13|ENSP00000164640|ENSP00000164640.4,1.3720849842392842
ENSG00000065883|ENSG00000065883.18|ENSP00000181839|ENSP00000181839.4,0.9093285492017066
ENSG00000060642|ENSG00000060642.12|ENSP00000078527|ENSP00000078527.4,1.001143792712285
ENSG00000074964|ENSG00000074964.17|ENSP00000167825|ENSP00000167825.5,1.2232983997158817
ENSG00000070886|ENSG00000070886.12|ENSP00000166244|ENSP00000166244.3,1.2914091138680173
ENSG00000079999|ENSG00000079999.14|ENSP00000171111|ENSP00000171111.4,1.3522984030170087
ENSG00000171431|ENSG00000171431.4|ENSP00000167588|ENSP00000167588.3,1.037147304206163
ENSG00000007129|ENSG00000007129.18|ENSP00000187608|ENSP00000187608.9,1.088436880574457
ENSG00000060566|ENSG00000060566.14|ENSP00000078445|ENSP00000078445.1,1.105741252975072
ENSG00000068308|ENSG00000068308.15|ENSP00000156084|ENSP00000156084.4,1.0643841062105153
ENSG00000077009|ENSG00000077009.14|ENSP00000168977|ENSP00000168977.1,1.346807133142788
ENSG00000147724|ENSG00000147724.12|ENSP00000160713|ENSP00000160713.4,1.1002560746606138
ENSG00000072954|ENSG00000072954.7|ENSP00000187762|ENSP00000187762.1,1.325402962991957
ENSG00000064300|ENSG00000064300.9|ENSP00000172229|ENSP00000172229.3,1.3700992919841963
ENSG00000065308|ENSG00000065308.5|ENSP00000182527|ENSP00000182527.3,1.136846896033839
ENSG00000063245|ENSG00000063245.15|ENSP00000085079|ENSP00000085079.6,1.1326209278396653
ENSG00000065320|ENSG00000065320.9|ENSP00000173229|ENSP00000173229.2,1.6133912339552507
ENSG00000077238|ENSG00000077238.14|ENSP00000170630|ENSP00000170630.3,1.1003088916161803
ENSG00000067445|ENSG00000067445.22|ENSP00000173898|ENSP00000173898.7,1.0298419663196003
ENSG00000059804|ENSG00000059804.18|ENSP00000075120|ENSP00000075120.7,1.0046450128432578
ENSG00000073598|ENSG00000073598.6|ENSP00000158009|ENSP00000158009.4,1.140249361626638
ENSG00000078589|ENSG00000078589.13|ENSP00000171757|ENSP00000171757.2,1.0727074575969404
ENSG00000061794|ENSG00000061794.13|ENSP00000081029|ENSP00000081029.3,1.080919166239302
ENSG00000075388|ENSG00000075388.4|ENSP00000168712|ENSP00000168712.1,1.5972888265662764
ENSG00000129437|ENSG00000129437.11|ENSP00000156499|ENSP00000156499.3,1.201249092909002
ENSG00000065518|ENSG00000065518.8|ENSP00000184266|ENSP00000184266.2,1.111033589504398
ENSG00000066455|ENSG00000066455.13|ENSP00000163416|ENSP00000163416.2,1.0628785100295242
ENSG00000065371|ENSG00000065371.18|ENSP00000184183|ENSP00000184183.4,1.1295263639709232
ENSG00000071859|ENSG00000071859.15|ENSP00000158526|ENSP00000158526.9,1.4439040093692803
ENSG00000074771|ENSG00000074771.4|ENSP00000159060|ENSP00000159060.2,1.020317716979646
ENSG00000088256|ENSG00000088256.9|ENSP00000078429|ENSP00000078429.3,1.7868386204438262
ENSG00000079308|ENSG00000079308.21|ENSP00000171887|ENSP00000171887.4,1.0236693594957271
ENSG00000060140|ENSG00000060140.9|ENSP00000075503|ENSP00000075503.3,1.0416693610635896
ENSG00000076826|ENSG00000076826.10|ENSP00000160298|ENSP00000160298.3,1.1119958911095331
ENSG00000068615|ENSG00000068615.20|ENSP00000165698|ENSP00000165698.5,1.070653074565755
ENSG00000071655|ENSG00000071655.18|ENSP00000156825|ENSP00000156825.2,1.8052054346386026
ENSG00000066583|ENSG00000066583.12|ENSP00000173527|ENSP00000173527.5,0.9629894187022701
ENSG00000072506|ENSG00000072506.14|ENSP00000168216|ENSP00000168216.6,1.0742675290099417
ENSG00000073849|ENSG00000073849.16|ENSP00000169298|ENSP00000169298.3,1.1253832342442773
ENSG00000068976|ENSG00000068976.14|ENSP00000164139|ENSP00000164139.3,1.2523446991657576
ENSG00000079432|ENSG00000079432.9|ENSP00000160740|ENSP00000160740.3,1.0118479849840798
ENSG00000172995|ENSG00000172995.17|ENSP00000187397|ENSP00000187397.4,1.0146178751871975
ENSG00000186847|ENSG00000186847.6|ENSP00000167586|ENSP00000167586.6,1.3959424476438844
ENSG00000067365|ENSG00000067365.15|ENSP00000163678|ENSP00000163678.6,1.019448682849732
ENSG00000072135|ENSG00000072135.13|ENSP00000175756|ENSP00000175756.5,1.1410821292089102
ENSG00000060069|ENSG00000060069.18|ENSP00000075430|ENSP00000075430.7,1.0852165696247031
ENSG00000100565|ENSG00000100565.16|ENSP00000216450|ENSP00000216450.3,1.229125812267052
ENSG00000072110|ENSG00000072110.17|ENSP00000193403|ENSP00000193403.6,1.354987727535573
ENSG00000090581|ENSG00000090581.11|ENSP00000204679|ENSP00000204679.4,1.1807773364960181
ENSG00000086506|ENSG00000086506.3|ENSP00000199708|ENSP00000199708.2,1.5981448260587412
ENSG00000090447|ENSG00000090447.12|ENSP00000204517|ENSP00000204517.6,1.3530757027241909
